Model,label,alpha,n_cluster,val_AUROC,val_std_AUROC, val_AUPRC, val_std_AUPRC,test_AUROC,test_std_AUROC, test_AUPRC, test_std_AUPRC
GCN,Y,0.0,40,0.8702625713282585,0.021881207165022874,0.8154798747867545,0.029090111518317,0.8592331288343559,0.008940123882377072,0.8192647718991288,0.026389178839671314
GCN,Y,0.1,40,0.8736498313649108,0.027962304931132487,0.8210160585774015,0.0380712225711478,0.8480981595092023,0.012921494875977607,0.80188149288731,0.02060804244916504
GCN,Y,0.2,40,0.868091309036562,0.029509153905379067,0.8150319333936722,0.047916115725116656,0.8434969325153375,0.011647166382106678,0.7962875714880309,0.03166924598578024
GCN,Y,0.3,40,0.8829072430725857,0.03092304393551342,0.8515811405032265,0.05359748463249129,0.8519631901840491,0.012647271748941853,0.8266559169138615,0.024212663620363773
GCN,Y,0.4,40,0.8804283790000488,0.029048850422834685,0.829795784820068,0.04789527769914838,0.8597283085013148,0.008662201778004858,0.8407866991972857,0.017854391258109652
GAT,Y,0.0,40,0.8419421525818246,0.02847139005035416,0.7830253348878472,0.049060235420466,0.8620946538124452,0.02013684469555201,0.8464670442157296,0.021281800874233172
GAT,Y,0.1,40,0.8801302610308097,0.03666147712454657,0.8372366271120857,0.044890709480295686,0.8513584574934269,0.024047968228849147,0.8122552167883679,0.03721159586543688
GAT,Y,0.2,40,0.8856186631364833,0.02666978023227033,0.8346505704177009,0.03888239295309272,0.8939000876424188,0.012888097077713547,0.8558744256223241,0.02224433186617477
GAT,Y,0.3,40,0.8827556670268691,0.030531218182579024,0.8392812048425151,0.0458443143783121,0.8827344434706399,0.018034480199851627,0.8486658337986001,0.023943825559389557
GAT,Y,0.4,40,0.8815540958904421,0.03163417163738961,0.8219442988599408,0.045174566776266786,0.8880631025416301,0.02264725893123492,0.8481761548490931,0.037227651069331125
GCN,Y,0.5,40,0.8746754219788244,0.02894050976525522,0.8270785104578355,0.04717228711082718,0.8553374233128833,0.010349838677999445,0.8219013768377392,0.014826470916525164
GCN,Y,0.6,40,0.8774835336291116,0.03325297193949079,0.8306976491009355,0.04966398989874116,0.8582033304119193,0.009733573517435508,0.8344345463192765,0.020445375534746648
GAT,Y,0.5,40,0.8843874404900951,0.0278508024665099,0.8324219610919709,0.04225204720972667,0.8432427695004382,0.09478286476215725,0.819947741317298,0.07955518424647309
GAT,Y,0.6,40,0.8862580667674752,0.030400777024501096,0.8281342266731511,0.04454629592858066,0.9013146362839614,0.002857062203471712,0.8784313701623837,0.004482709643323633
GCN,Y,0.4,40,0.8804283790000488,0.029048850422834685,0.829795784820068,0.04789527769914838,0.8597283085013148,0.008662201778004858,0.8407866991972857,0.017854391258109652
GAT,Y,0.4,40,0.8815540958904421,0.03163417163738961,0.8219442988599408,0.045174566776266786,0.8880631025416301,0.02264725893123492,0.8481761548490931,0.037227651069331125
AFP,Y,0.4,5,0.754257353019296,0.03885424452315588,0.6804798627321713,0.037243169946532,0.8142243645924628,0.010397826550511963,0.7488927272730355,0.010141803730776545
AFP,Y,0.4,10,0.7440539403092628,0.04225195587920753,0.6655693495624163,0.044066670219192694,0.8115600350569675,0.0038660540279346206,0.7480294929051033,0.004738927691247703
AFP,Y,0.4,20,0.7468001800199561,0.04010210161214458,0.668233860584819,0.040233729324014415,0.8105696757230498,0.004980788913902991,0.7501943775696974,0.006904127559279158
MPNN,Y,0.4,5,0.6759891651402846,0.04017655511674829,0.5734365258721332,0.03786920276052924,0.6410166520595968,0.03549564492613356,0.521268618967256,0.03522559413524478
MPNN,Y,0.4,10,0.6800076604554104,0.05566684074025532,0.5866059483010136,0.07587389904415484,0.6763453111305873,0.025049583246513765,0.5585562241936212,0.026355915312282083
MPNN,Y,0.4,20,0.6699648480786389,0.039241177201182205,0.5726563826546165,0.05203650132622879,0.6466520595968449,0.067592056323706,0.5427819736037545,0.04544226020290975
Weave,Y,0.4,5,0.6926219978132845,0.03524904889214767,0.6230110225538628,0.057390905228265905,0.41961437335670465,0.14320511407784448,0.40735001614754146,0.08365306281801363
Weave,Y,0.4,10,0.7066671672537183,0.029493683875267275,0.6321929056644443,0.055575356459914425,0.4634574934268185,0.14191827283122288,0.4281681319479512,0.07998730696759912
Weave,Y,0.4,20,0.6957811848428457,0.026445192461664477,0.6025468113781512,0.04918007788895715,0.5713496932515337,0.1455040283732716,0.48702268353467204,0.09397661424727279
GAT,Y,0.4,5,0.8814924359523287,0.029241957618873195,0.8285871417343748,0.04195030687189852,0.8866871165644172,0.016206275323990292,0.8567673626499939,0.02297223394887571
GAT,Y,0.4,10,0.8828109411440724,0.029847101461286756,0.8339777174870312,0.03084896630317554,0.8459509202453989,0.04171236496130063,0.7866797983198554,0.035066072974768984
GAT,Y,0.4,20,0.8832641346026048,0.02445921812779865,0.824871853990323,0.02576073142097494,0.8823225241016651,0.012317318064540953,0.83702759328783,0.02712748143969044
GCN,Y,0.4,5,0.883507657410503,0.0286987983115519,0.83684580743119,0.05622806529899944,0.8570902716914987,0.01047880117480749,0.7953781353942289,0.02068561430267023
GAT,Y,0.7,40,0.882925309166686,0.03254761055466533,0.8426328520081687,0.036666156863838485,0.8877475898334793,0.012213423118352298,0.8562828982170071,0.014928613287226375
GCN,Y,0.4,10,0.8766263211744418,0.03126775026440855,0.8228623437668542,0.05452475469558102,0.8553111305872042,0.015423108592275579,0.8121385154542164,0.031695694528392084
GAT,Y,0.8,40,0.8855912546845991,0.026196366256636978,0.8416490472674439,0.04661223637485958,0.8792725679228747,0.012127855202483235,0.8390000554463984,0.022448950509832106
GCN,Y,0.4,20,0.8841927239028152,0.03525511911005449,0.8269615236567873,0.06473169647976759,0.8631814198071867,0.012921399763491732,0.8282325084946646,0.02876644776042336
