Model,label,alpha,n_cluster,val_AUROC,val_std_AUROC, val_AUPRC, val_std_AUPRC,test_AUROC,test_std_AUROC, test_AUPRC, test_std_AUPRC
LR,Y,-,-,0.0,0.0,0.0,0.0,0.9223852678427452,0.0046115957046361684,0.9707278213041366,0.0020261087654892744
RF,Y,-,-,0.0,0.0,0.0,0.0,0.9202696165382009,0.0021861558446603074,0.9697393056710725,0.001178554703737359
SVM,Y,-,-,0.0,0.0,0.0,0.0,0.9032089528171058,0.005074736139719959,0.9598707276877299,0.002523355738070978
Weave,Y,0.0,40,0.922181166486482,0.008890035789761963,0.9704051967235291,0.006577427553360829,0.9026542393653045,0.037343958075548654,0.9563693141433045,0.021327692628048733
Weave,Y,0.1,40,0.9150128853698369,0.008196860341070845,0.9655687302580553,0.006458431019008589,0.9215983487599575,0.003987219374412498,0.9690410461096258,0.0023753097462483096
Weave,Y,0.2,40,0.9173976708321808,0.012743891640388713,0.9679786362682083,0.008132529533556488,0.9191730899474312,0.004768947475632083,0.9679015761680854,0.0014959377437264428
Weave,Y,0.3,40,0.92384081036164,0.006020339002713826,0.9716152088045826,0.0034142597613689416,0.9142516206017997,0.013200578798432913,0.964046642961166,0.010156869633004004
Weave,Y,0.4,40,0.9129835903551825,0.00842608203710736,0.9659408077367295,0.003429995139810488,0.9099622665849646,0.007879979513693307,0.9616292825377016,0.006157254800233942
Weave,Y,0.5,40,0.9080762241839311,0.007867926658420014,0.962423187359648,0.005784878978443868,0.911639307253201,0.0031016735914224975,0.9644371487310774,0.00237836422671517
Weave,Y,0.6,40,0.9116809897675061,0.005805129023386281,0.962335003274678,0.005087671940547286,0.8938949269519785,0.026621577976639804,0.9543785058422458,0.015673846594804294
GCN,Y,0.0,40,0.9037963976331544,0.015582330389836314,0.9628658975612661,0.005046970013231883,0.882658754474796,0.015145382069664435,0.9396566803760485,0.015322017512742536
GCN,Y,0.1,40,0.9113991792114924,0.013961228915495763,0.9634110213645016,0.010618421003699469,0.8783629503015448,0.01831211334451376,0.9351838875171854,0.016694882437759104
GCN,Y,0.2,40,0.9095951203946839,0.01559682528713859,0.9617156198228652,0.008506581955149488,0.8919082787757603,0.02232412647234229,0.9501149621946444,0.014038632428407897
